Number,Assigned space,Identifier,24-8-2023,25-8-2023,26-8-2023,27-8-2023,28-8-2023,29-8-2023,30-8-2023,31-8-2023,1-9-2023,2-9-2023,3-9-2023,4-9-2023,5-9-2023,6-9-2023,7-9-2023,8-9-2023,9-9-2023,10-9-2023,11-9-2023,12-9-2023,13-9-2023,14-9-2023,15-9-2023,16-9-2023,17-9-2023,18-9-2023,19-9-2023,20-9-2023,21-9-2023,22-9-2023,23-9-2023,24-9-2023,25-9-2023,26-9-2023,27-9-2023,28-9-2023,29-9-2023,30-9-2023,1-10-2023,2-10-2023,3-10-2023,4-10-2023,5-10-2023,6-10-2023,7-10-2023,8-10-2023,9-10-2023,10-10-2023,11-10-2023,12-10-2023,13-10-2023,14-10-2023,15-10-2023,16-10-2023,17-10-2023,18-10-2023,19-10-2023,20-10-2023,21-10-2023,22-10-2023,23-10-2023,24-10-2023,25-10-2023,26-10-2023,27-10-2023,28-10-2023,29-10-2023,30-10-2023,31-10-2023,1-11-2023,2-11-2023,3-11-2023,4-11-2023,5-11-2023,6-11-2023,7-11-2023,8-11-2023,9-11-2023,10-11-2023,11-11-2023,12-11-2023,13-11-2023,14-11-2023,15-11-2023,16-11-2023,17-11-2023,18-11-2023,19-11-2023,20-11-2023,21-11-2023,22-11-2023,23-11-2023,24-11-2023,25-11-2023,26-11-2023,27-11-2023,28-11-2023,29-11-2023,30-11-2023,1-12-2023,2-12-2023,3-12-2023,4-12-2023,5-12-2023,6-12-2023,7-12-2023,8-12-2023,9-12-2023,10-12-2023,11-12-2023,12-12-2023,13-12-2023,14-12-2023,15-12-2023,16-12-2023,17-12-2023,18-12-2023,19-12-2023,20-12-2023,21-12-2023,22-12-2023,23-12-2023
372385,Comfort Twin - 0312,47826d94-85f8-45e4-891f-b06100e2b999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.97,93.97,93.97,140.95,140.95,93.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371552,Comfort Twin - 0314,9a97063e-3d54-46b5-94ca-b05e00ddfeb8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383719,Comfort Twin - 0315,869fb340-a210-4245-8902-b09601200b39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371547,Comfort Twin - 0325,4785bccc-6d44-46d4-96f5-b05e00dad8af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372390,Comfort Twin - 0331,ebadcd45-539a-4ae1-b7b4-b06100e2b999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.97,93.97,93.97,140.95,140.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383460,Comfort Twin - 0333,aa18b0ca-88b5-4e53-9942-b09401291b08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383035,Comfort Twin - 0414,9fd13a5b-b967-4312-b9f1-b09100df2f88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372393,Comfort Twin - 0417,50d25447-0af7-45d7-859d-b06100e2b999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.97,93.97,93.97,140.95,140.95,93.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382036,Comfort Twin - 0510,0412210a-214c-4428-a0f1-b08c00616f96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382033,Comfort Twin - 0517,269aafd3-64cf-4f34-b944-b08c00616f96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
