Number,Status,Arrival,Departure,Count (nights),"Count (bed, nightly)",Requested category,Space category,Person count,Adults,Children
373191,Checked out,2023-09-30 16:28:14.262,2023-10-03 10:04:13.255,3,6,Premium Double,Premium Double,2,2,0
373189,Checked out,2023-09-30 16:29:44.770,2023-10-03 10:04:13.255,3,6,Premium Double,Premium Double,2,2,0
373188,Checked out,2023-09-30 16:29:08.634,2023-10-03 10:04:13.255,3,6,Premium Double,Premium Double,2,2,0
373190,Checked out,2023-09-30 16:30:23.847,2023-10-03 10:04:13.255,3,6,Premium Double,Premium Double,2,2,0
362483,Checked out,2023-09-30 16:36:11.730,2023-10-03 10:49:55.102,3,6,Premium Double,Premium Double,2,2,0
380934,Checked out,2023-09-30 13:27:27.329,2023-10-02 08:59:22.278,2,2,Premium Twin,Premium Twin,1,1,0
381121,Checked out,2023-09-30 18:11:48.041,2023-10-02 10:55:26.187,2,4,Comfort Twin,Premium Twin,2,2,0
376595,Checked out,2023-10-01 16:28:01.661,2023-10-02 11:00:00.000,1,1,Comfort Double,Comfort Double,1,1,0
376592,Checked out,2023-10-01 16:30:03.500,2023-10-02 11:00:00.000,1,1,Comfort Twin,Comfort Double,1,1,0
373516,Checked out,2023-10-01 06:57:05.480,2023-10-02 10:11:20.043,1,1,Comfort Twin,Comfort Double,1,1,0
381292,Checked out,2023-10-01 13:52:48.895,2023-10-02 09:04:38.516,1,1,Comfort Double,Comfort Double,1,1,0
376588,Checked out,2023-10-01 14:11:30.983,2023-10-02 08:50:20.834,1,1,Comfort Twin,Comfort Double,1,1,0
376601,Checked out,2023-10-01 17:07:39.489,2023-10-02 11:00:00.000,1,1,Comfort Double,Comfort Double,1,1,0
376610,Checked out,2023-10-01 15:08:06.918,2023-10-02 09:08:11.005,1,1,Comfort Double,Comfort Double,1,1,0
376586,Checked out,2023-10-01 15:25:01.094,2023-10-02 10:40:21.602,1,1,Comfort Twin,Comfort Double,1,1,0
376597,Checked out,2023-10-01 15:35:55.393,2023-10-02 08:37:43.025,1,1,Comfort Double,Comfort Double,1,1,0
370616,Checked out,2023-10-01 16:40:24.505,2023-10-03 09:04:35.469,2,2,Comfort Double,Comfort Double,1,1,0
376600,Checked out,2023-10-01 12:51:11.595,2023-10-02 09:02:17.047,1,2,Comfort Double,Comfort Double,2,2,0
380422,Checked out,2023-10-01 21:33:51.805,2023-10-03 08:39:38.018,2,2,Comfort Double,Comfort Double,1,1,0
376613,Checked out,2023-10-01 12:52:04.009,2023-10-02 08:52:56.431,1,2,Comfort Double,Comfort Double,2,2,0
376596,Checked out,2023-10-01 13:05:30.347,2023-10-02 09:24:31.967,1,2,Comfort Double,Comfort Double,2,2,0
376614,Checked out,2023-10-01 12:52:46.199,2023-10-02 08:53:39.039,1,1,Comfort Double,Comfort Double,1,1,0
